"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"GSE25066"," Dataset of breast cancer patients from Nuvera Biosciences","MetaGxBreast/GSE25066.rda","3.6","Affymetrix HGU GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25066","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","GSE25066.rda"
"GSE32646"," Dataset of breast cancer patients from Osaka University","MetaGxBreast/GSE32646.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32646","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","GSE32646.rda"
"GSE48091"," Dataset of breast cancer patients from Karolinska Institutet","MetaGxBreast/GSE48091.rda","3.6","Affymetrix RSTA GPL10379","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48091","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","GSE48091.rda"
"GSE58644"," Dataset of breast cancer patients from McGill University","MetaGxBreast/GSE58644.rda","3.6","Affymetrix Gene1.0ST GPL6244","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58644","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","GSE58644.rda"
"HLP"," Dataset of breast cancer patients from University Hospital La Paz (Spain)","MetaGxBreast/HLP.rda","3.6","Illumina","RData","http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-543/","Feb 02 2018","Homo sapien",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","HLP.rda"
"IRB"," Dataset of breast cancer patients from Dana Farber Cancer Institute","MetaGxBreast/IRB.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5460","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","IRB.rda"
"KOO"," Dataset of breast cancer patients from Koo Foundation Sun Yat-Sen Cancer Centre (Taiwan)","MetaGxBreast/KOO.rda","3.6","Affymetrix HGU95","RData","Unavailable","Feb 02 2018","Homo sapien",9606,FALSE,"NA","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","KOO.rda"
"LUND"," Dataset of breast cancer patients from Lund University Hospital (Sweden)","MetaGxBreast/LUND.rda","3.6","Swegene GPL14373","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE31863","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","LUND.rda"
"LUND2"," Dataset of breast cancer patients from Lund University Hospital (Sweden)","MetaGxBreast/LUND2.rda","3.6","Swegene GPL3883","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE5325","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","LUND2.rda"
"MAINZ"," Dataset of breast cancer patients from Mainz hospital (Germany)","MetaGxBreast/MAINZ.rda","3.6","Affymetrix HGU GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11121","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","MAINZ.rda"
"MAQC2"," Dataset of breast cancer patients from Microarray quality control consortium (United States)","MetaGxBreast/MAQC2.rda","3.6","Affymetrix HGU GPL96///GPL570///GPL1261","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20194","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","MAQC2.rda"
"MCCC"," Dataset of breast cancer patients from Peter MacCallum Cancer Centre (Australia)","MetaGxBreast/MCCC.rda","3.6","Illumina GPL6106","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19177","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","MCCC.rda"
"MDA4"," Dataset of breast cancer patients from MD Anderson Cancer Center (United States)","MetaGxBreast/MDA4.rda","3.6","Affymetrix HGU","RData","http://bioinformatics.mdanderson.org/pubdata.html","Feb 02 2018","Homo sapien",9606,FALSE,"MDAnderson","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","MDA4.rda"
"METABRIC"," 2,000 clinically annotated primary fresh-frozen breast cancer specimens from tumour banks in the UK and Canada","MetaGxBreast/METABRIC.rda","3.6","Affymetrix HGU GPL96","RData","https://www.ebi.ac.uk/ega/studies/EGAS00000000083","Feb 02 2018","Homo sapien",9606,FALSE,"EGA","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","METABRIC.rda"
"MSK"," Dataset of breast cancer patients from Memorial Sloan-Kettering (United States)","MetaGxBreast/MSK.rda","3.6","Operon GPL6486","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse2603","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","MSK.rda"
"MUG"," Dataset of breast cancer patients from Medical University of Graz (Austria)Medical University of Graz (Austria)","MetaGxBreast/MUG.rda","3.6","Affymetrix HGU GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse10510","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","MUG.rda"
"NCCS"," Dataset of breast cancer patients from National Cancer Centre of Singapore (Singapore)","MetaGxBreast/NCCS.rda","3.6","In-house cDNA","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse5364","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","NCCS.rda"
"NCI"," Dataset of breast cancer patients from National Cancer Institute (United States)","MetaGxBreast/NCI.rda","3.6","Agilent","RData","Supplemental data from paper Breast cancer classification and prognosis based on gene expression profiles from a population-based study","Feb 02 2018","Homo sapien",9606,FALSE,"paper supplementary","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","NCI.rda"
"NKI"," Dataset of breast cancer patients from National Kanker Instituut (The Netherlands)","MetaGxBreast/NKI.rda","3.6","Affymetrix HGU GPL570","RData","Not available","Feb 02 2018","Homo sapien",9606,FALSE,"NA","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","NKI.rda"
"PNC"," This dataset (GSE20711) Subseries of GSE20713 used to study epigenetic variations link to gene expression","MetaGxBreast/PNC.rda","3.6","Affymetrix HGU GPL97///GPL96","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20711","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","PNC.rda"
"STK"," Dataset of breast cancer patients from Stockholm","MetaGxBreast/STK.rda","3.6","In-house cDNA GPL180///GPL2776///GPL2777","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse1456","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","STK.rda"
"STNO2"," Dataset of breast cancer patients from Stanford/Norway (United States and Norway)","MetaGxBreast/STNO2.rda","3.6","TCGA","RData","http://smd.princeton.edu/cgi-bin/publication/viewPublication.pl?pub_no=248","Feb 02 2018","Homo sapien",9606,FALSE,"SMD","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","STNO2.rda"
"TCGA"," Dataset of breast cancer patients from The Cancer Genome Atlas","MetaGxBreast/TCGA.rda","3.6","Affymetrix HGU GPL96","RData","http://cancergenome.nih.gov/","Feb 02 2018","Homo sapien",9606,FALSE,"TCGA","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","TCGA.rda"
"TRANSBIG"," Dataset collected by the TransBIG consortium (Europe)","MetaGxBreast/TRANSBIG.rda","3.6","In-house cDNA","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gsE7390","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","TRANSBIG.rda"
"UCSF"," Dataset of breast cancer patients from University of California, San Francisco (United States)","MetaGxBreast/UCSF.rda","3.6","Agilent GPL885///GPL887///GPL1390","RData","Not available","Feb 02 2018","Homo sapien",9606,FALSE,"NA","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","UCSF.rda"
"UNC4"," Dataset of breast cancer patients from University of Northern California (United States)","MetaGxBreast/UNC4.rda","3.6","Affymetrix HGU","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse18229","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","UNC4.rda"
"UNT"," Cohort of untreated breast cancer patients from the Oxford Radcliffe (United Kingdom) and Karolinska (Sweden) hospital","MetaGxBreast/UNT.rda","3.6","Affymetrix HGU GPL570","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse2990","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","UNT.rda"
"UPP"," Dataset of breast cancer patients from Uppsala hospital (Sweden)","MetaGxBreast/UPP.rda","3.6","Affymetrix HGU","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse3494","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","UPP.rda"
"VDX"," Dataset of breast cancer patients from Veridex (The Netherlands)","MetaGxBreast/VDX.rda","3.6","METABRIC","RData","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse2034; http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse5327","Feb 02 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","VDX.rda"
